18 23
3 -28
6 -17
18 1
28 -1
3 -25
23 23
4 -2
1 -13
40 -22
47 -29
47 -9
35 16
8 -11
17 -3
35 23
9 25
43 6
4 0
38 -11
11 -14
9 -22
49 -15
38 18
42 -26
46 3
23 -28
18 1
4 22
6 18
28 28
7 20
42 0
46 -15
43 -3
46 21
48 15
3 28
18 -12
33 10
7 27
16 0
28 20
36 16
14 29
15 -12
10 19
8 -6
28 -2
17 10
25 8
17 17
24 -5
12 1
10 -26
22 8
30 26
43 2
29 24
31 -7
3 30
19 1
25 8
50 -2
24 14
50 -11
32 13
35 -7
11 -5
30 -8
34 22
44 -15
47 17
5 -29
25 11
25 25
33 -6
14 10
8 -24
1 -7
28 20
45 -5
42 14
33 -28
37 23
50 7
40 -3
15 11
17 -30
1 26
19 5
28 10
30 -17
39 -17
37 -17
24 -7
36 -21
48 -13
8 -8
32 -8
6 -3
16 18
17 -3
41 -4
44 25
6 16
16 -12
35 15
10 -27
16 10
46 6
15 -23
2 -25
4 -4
49 -30
21 9
25 20
25 10
18 -20
43 -12
39 11
47 25
14 -1
1 5
28 14
19 -26
24 1
11 -10
41 -29
49 4
31 -11
3 -21
21 -25
40 -7
32 2
21 -14
7 6
26 27
10 -22
35 -8
2 14
18 -7
49 26
31 28
21 -27
49 6
19 8
35 -10
43 7
10 -1
35 -20
28 -14
37 10
3 -27
12 4
9 -18
48 -24
28 -20
1 -27
33 6
27 30
31 2
44 21
18 28
18 30
30 -17
12 13
45 -12
40 -14
33 -6
28 -21
10 -19
6 -3
5 -8
16 -5
31 29
30 2
13 -28
38 -18
3 -24
43 -2
9 -7
40 9
1 -28
33 26
16 -25
3 -29
47 -19
48 16
3 24
6 -28
14 10
9 0
5 -16
14 28
49 2
32 -4
14 -13
47 19
44 -1
49 19
13 30
28 -21
3 20
28 22
13 14
47 -8
20 -14
37 13
20 16
16 9
39 12
49 -15
3 -26
42 -7
29 -27
39 -10
17 -20
11 19
40 1
12 20
20 -18
5 3
15 29
36 -21
9 6
29 -7
23 23
12 -5
38 -16
29 -9
1 15
27 24
48 -9
12 23
2 24
30 -6
35 21
36 6
40 -4
47 25
14 -27
49 -20
13 -6
24 -13
6 -4
36 19
40 15
26 -6
6 6
16 -15
13 4
8 11
20 -13
30 15
17 1
26 27
28 20
43 -15
16 -5
27 20
21 14
8 -22
4 -5
13 -19
28 -17
5 -21
8 30
20 7
2 -4
13 -19
3 -24
34 19
38 5
13 7
31 0
39 1
4 -15
41 18
28 10
34 -17
47 29
36 30
37 -7
17 -2
8 2
23 -21
49 1
50 13
27 30
2 -18
47 9
16 -27
38 -8
8 19
41 0
23 -14
14 -24
